Sponsor,Total Protocols,Distinct Brands
DR STEPHANIE LHEUREUX,3,3
ALETHIA BIOTHERAPEUTICS INC,3,1
MEI PHARMA INC,3,3
MEIRAGTX LLC,3,2
MERUS B.V.,3,3
MERZ PHARMACEUTICALS GMBH,3,3
MEZZION PHARMA CO. LTD.,3,1
MITSUBISHI TANABE PHARMA DEVELOPMENT AMERICA INC,3,3
CALITHERA BIOSCIENCES INC,3,3
CALLIDITAS THERAPEUTICS AB,3,3
"ARETEIA THERAPEUTICS, INC",3,1
MYELOMA CANADA RESEARCH NETWORK,3,3
CANADIAN CENTER FOR VACCINOLOGY (CCFV),3,3
NATIONAL CANCER INSTITUTE DIVISION OF CANCER PREVENTION,3,1
ARISTEA THERAPEUTICS INC,3,1
"DR. JOHN KURUVILLA, UNIVERSITY HEALTH NETWORK",3,3
DR. JOSHUA D. ROSENBLAT,3,3
"ARRIVENT BIOPHARMA, INC.",3,3
CARDIOL THERAPEUTICS INC,3,1
ACELYRIN INC.,3,1
DR. STEEVE PROVENCHER,3,2
OCTAPHARMA AG,3,3
"ODONATE THERAPEUTICS, INC",3,3
"OLEMA PHARMACEUTICALS, INC.",3,3
CENTRE DE RECHERCHE DU CHUS,3,3
CENTRE FOR PROBE DEVELOPMENT AND COMMERCIALIZATION,3,3
CENTRE HOSPITALIER UNIVERSITAIRE DE QUEBEC,3,3
CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,3,3
DYAX CORP,3,3
ONYX THERAPEUTICS INC,3,3
ALLOGENE THERAPEUTICS INC,3,3
"ALLOVIR, INC",3,3
"ORIC PHARMACEUTICALS, INC.",3,3
"EIGER BIOPHARMACEUTICALS, INC",3,2
CEREVEL THERAPEUTICS LLC,3,2
"ELEDON PHARMACEUTICALS, INC.",3,2
35PHARMA INC.,3,2
ELEVEN BIOTHERAPEUTICS INC,3,2
"CG ONCOLOGY, INC",3,3
PEARL THERAPEUTICS INC,3,3
PEDIATRIC ONCOLOGY EXPERIMENTAL THERAPEUTIC INVESTIGATOR CONSORTIUM,3,3
"PHARMA MAR, S.A.",3,3
PHARMACYCLICS INC,3,3
PLIANT THERAPEUTICS INC,3,3
CHILDRENS HOSPITAL OF EASTERN ONTARIO RESEARCH INSTITUTE,3,3
PROGENICS PHARMACEUTICALS INC,3,3
"PROMETHEUS BIOSCIENCES, INC.",3,2
