Medical Condition,Protocol Count
ANAPLASTIC LYMPHOMA KINASE-POSITIVE ADVANCED NON-SMALL CELL LUNG CANCER,3
ANGINA PECTORIS,3
HEPATITIS C VIRUS GENOTYPE 4,3
ANTI-NEUTROPHIL CYTOPLASMIC AUTOANTIBODY (ANCA)-ASSOCIATED VASCULITIS,3
ASSISTED REPRODUCTIVE TECHNOLOGY PROGRAMME,3
INDOLENT SYSTEMIC MASTOCYTOSIS,3
HEPATITIS C VIRUS GENOTYPE 2 OR 3,3
SENSORINEURAL HEARING LOSS,3
SCALP AND BODY PSORIASIS,3
ATRIAL FLUTTER,3
ACTIVE ANKYLOSING SPONDYLITIS,3
RHABDOMYOSARCOMA,3
INFLAMMATORY BOWEL DISEASE,3
RETINOBLASTOMA,3
WILSON'S DISEASE,3
RESTLESS LEGS SYNDROME,3
RENAL IMPAIRMENT,3
BASAL CELL NEVUS SYNDROME,3
RECOVERY AFTER ANESTHESIA,3
WALDENSTRÖM'S MACROGLOBULINEMIA,3
GASTRO-OESOPHAGEAL CANCER,3
UNCONTROLLED BLEEDING,3
PULMONARY EMPHYSEMA,3
FUNGAL DISEASE,3
PULMONARY ASPERGILLOSIS,3
INTRAHEPATIC CHOLANGIOCARCINOMA,3
BONE METASTASES,3
UTERINE CANCER,3
ACUTE KIDNEY INJURY,3
BRONCHIOLITIS,3
PROGRESSIVE SUPRANUCLEAR PALSY,3
ACUTE MAJOR BLEEDING,3
ISCHEMIC LEFT VENTRICULAR DYSFUNCTION,3
HEREDITARY INCLUSION BODY MYOPATHY (HIBM),3
ICHTHYOSIS,3
GIANT CELL TUMORS,3
PRIMARY SJOGREN'S SYNDROME (PSJS),3
PRIMARY SCLEROSING CHOLANGITIS (PSC),3
FOOD ALLERGIES,3
ABDOMINAL SURGERY,3
CANDIDIASIS,3
IDIOPATHIC HYPERSOMNIA,3
TUBEROUS SCLEROSIS COMPLEX (TSC),3
PRETERM INFANCY,3
POUCHITIS,3
ACUTE RENAL INJURY,3
CARCINOID SYNDROME,3
POST-OPERATIVE URINARY RETENTION,3
POST-CONCUSSION SYNDROME,3
PLEXIFORM NEUROFIBROMAS,3
ACUTE RESPIRATORY FAILURE,3
PLATYSMA PROMINENCE,3
ADENOCARCINOMA OF PANCREAS,3
LANGERHANS CELL HISTIOCYTOSIS,3
VENTRICULAR ARRHYTHMIA,3
PERSONALITY DISORDER,3
CENTRAL NERVOUS SYSTEM LYMPHOMA,3
ACROMEGALY,3
THROMBOPHYLAXIS,3
GNE MYOPATHY (GNEM),3
HYPERGLYCEMIA,2
HYPERMUTANT CANCER,2
HYPOACTIVE SEXUAL DESIRE,2
HYPOFIBRINOGENEMIA,2
ACTIVE AXIAL SPONDYLOARTHRITIS,2
HYSTERECTOMY ASSOCIATED PAIN,2
GESTATIONAL DIABETES MELLITUS,2
IDIOPATHIC THROMBOCYTOPENIC PURPURA (IPT),2
GEOGRAPHIC ATROPHY,2
GENITAL PSORIASIS,2
IL-18 DRIVEN MONOGENIC AUTOINFLAMMATORY CONDITIONS,2
IMMUNE THROMBOCYTOPENIC PURPURA (ITP),2
GAUCHER DISEASE TYPE 3,2
GASTROSCHISIS,2
INCLUSION BODY MYOSITIS,2
INFANT RESUSCITATION,2
GASTROINTESTINAL SURGERY,2
GASTROINTESTINAL DISORDERS,2
GASTRO-ENTEROPANCREATIC NEUROENDOCRINE TUMORS,2
FUCHS ENDOTHELIAL CORNEAL DYSTROPHY,2
ISCHEMIC EVENTS,2
ISCHEMIC MITRAL INSUFFICIENCY,2
FOREHEAD LINES,2
ISOLATED CERVICAL DYSTONIA,2
KIDNEY CANCER,2
FONTAN CIRCULATION,2
FOCAL-ONSET SEIZURES,2
LACERATION,2
LAMELLAR ICHTHYOSIS,2
LEBER CONGENITAL AMAUROSIS,2
LEIOMYOSARCOMA,2
LIPOPROTEIN LIPASE DEFICIENCY,2
LIVER METASTASES,2
UTERINE LEIOMYOMA,2
LOW BONE MINERAL DENSITY,2
LUNG CANCER SURGERY,2
LUNG FUNCTION,2
LUNG INJURY,2
LYME DISEASE,2
EPITHELIAL TUMOURS,2
EPISTAXIS,2
MAJOR ADVERSE KIDNEY EVENTS,2
MALIGNANT PLEURAL EFFUSION,2
MASSETER MUSCLE HYPERTROPHY,2
END OF LIFE DISTRESS,2
EGFR POSITIVE CANCERS,2
EGFR MUTATION SOLID MALIGNANCIES,2
METABOLIC DYSFUNCTION-ASSOCIATED STEATOHEPATITIS,2
EBOLA VIRUS INFECTION,2
METHAMPHETAMINE USE DISORDER,2
METHYLMALONIC ACIDEMIA,2
MIDDLE EAR EFFUSION,2
MITOCHONDRIAL MYOPATHY,2
MONKEYPOX,2
